2026-05-12 20:01:01 | INFO     | ayumi.blend_launcher | Fetched 199 M15 bars for USDJPY
2026-05-12 20:01:01 | INFO     | ayumi.blend_launcher | Registered 5 strategies: ['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout', 'Session-Range Mean Reversion', 'BB+RSI Mean Reversion']
2026-05-12 20:01:01 | INFO     | ayumi.blend_launcher | All strategy .name properties verified against maps
2026-05-12 20:01:01 | INFO     | ayumi.risk | Restored risk state from data/risk_state_blend.json
2026-05-12 20:01:01 | INFO     | ayumi.forward_test | BlendForwardTestRunner started — balance=$10000.00
2026-05-12 20:01:01 | INFO     | ayumi.forward_test | Preloaded 99 bars into key 'GBPUSD:60'
2026-05-12 20:01:01 | INFO     | ayumi.blend_launcher | Preloaded 99 60min bars for GBPUSD into engine
2026-05-12 20:01:01 | INFO     | ayumi.forward_test | Preloaded 199 bars into key 'GBPUSD:15'
2026-05-12 20:01:01 | INFO     | ayumi.blend_launcher | Preloaded 199 15min bars for GBPUSD into engine
2026-05-12 20:01:01 | INFO     | ayumi.forward_test | Preloaded 99 bars into key 'USDJPY:60'
2026-05-12 20:01:01 | INFO     | ayumi.blend_launcher | Preloaded 99 60min bars for USDJPY into engine
2026-05-12 20:01:01 | INFO     | ayumi.forward_test | Preloaded 199 bars into key 'USDJPY:15'
2026-05-12 20:01:01 | INFO     | ayumi.blend_launcher | Preloaded 199 15min bars for USDJPY into engine
2026-05-12 20:01:01 | INFO     | ayumi.blend_launcher | === STARTING MULTI-STRATEGY FORWARD TEST ===
2026-05-12 20:01:01 | INFO     | ayumi.blend_launcher | Pipeline: SRMR+ + Killzone + Momentum + SessionRangeMR → Correlation Gate → Blend Runner → Paper
2026-05-12 20:01:01 | INFO     | ayumi.blend_launcher | Startup diagnostic: strategies=['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout', 'Session-Range Mean Reversion', 'BB+RSI Mean Reversion']
