2026-04-30 12:33:40 | INFO     | ayumi.forward_test | Forward test started: symbols=['GBPUSD', 'USDJPY'] strategies=['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout', 'Session-Range Mean Reversion', 'BB+RSI Mean Reversion'] mode=PAPER eval_interval=1.0s bar_period=60m
2026-04-30 18:34:39 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-464/test_start_restores_no_state0/risk_state.json — starting fresh
2026-04-30 18:34:39 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-464/test_signal_processing0/risk_state.json — starting fresh
2026-04-30 18:34:39 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-464/test_multiple_signals_in_seque0/risk_state.json — starting fresh
2026-04-30 18:34:39 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-464/test_fill_handling_updates_bal0/risk_state.json — starting fresh
2026-04-30 18:34:39 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-464/test_state_save_on_stop0/risk_state.json — starting fresh
2026-04-30 18:34:39 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-464/test_state_restore_on_start0/risk_state.json — starting fresh
2026-04-30 18:39:58 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-465/test_start_restores_no_state0/risk_state.json — starting fresh
2026-04-30 18:39:58 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-465/test_signal_processing0/risk_state.json — starting fresh
2026-04-30 18:39:58 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-465/test_multiple_signals_in_seque0/risk_state.json — starting fresh
2026-04-30 18:39:58 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-465/test_fill_handling_updates_bal0/risk_state.json — starting fresh
2026-04-30 18:39:58 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-465/test_state_save_on_stop0/risk_state.json — starting fresh
2026-04-30 18:39:58 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-465/test_state_restore_on_start0/risk_state.json — starting fresh
2026-04-30 18:46:18 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-466/test_start_restores_no_state0/risk_state.json — starting fresh
2026-04-30 18:46:18 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-466/test_signal_processing0/risk_state.json — starting fresh
2026-04-30 18:46:18 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-466/test_multiple_signals_in_seque0/risk_state.json — starting fresh
2026-04-30 18:46:18 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-466/test_fill_handling_updates_bal0/risk_state.json — starting fresh
2026-04-30 18:46:18 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-466/test_state_save_on_stop0/risk_state.json — starting fresh
2026-04-30 18:46:18 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-466/test_state_restore_on_start0/risk_state.json — starting fresh
2026-04-30 18:52:40 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-467/test_start_restores_no_state0/risk_state.json — starting fresh
2026-04-30 18:52:40 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-467/test_signal_processing0/risk_state.json — starting fresh
2026-04-30 18:52:40 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-467/test_multiple_signals_in_seque0/risk_state.json — starting fresh
